processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers
GBGCR3111-19	MG912800	9672248	CAS8311		Mined from GenBank, NCBI		BOLD:AAW3604	18	Chordata	76	Reptilia	384	Testudines	53182	Testudinidae			279929	Chelonoidis	922142	Chelonoidis duncanensis																																														
GBGCR3123-19	MG912812	9672260	CAS8349		Mined from GenBank, NCBI		BOLD:AAW3604	18	Chordata	76	Reptilia	384	Testudines	53182	Testudinidae			279929	Chelonoidis	922142	Chelonoidis duncanensis																																														
GBGCR3148-19	MG912837	9672285			Mined from GenBank, NCBI		BOLD:AAW3604	18	Chordata	76	Reptilia	384	Testudines	53182	Testudinidae			279929	Chelonoidis	922142	Chelonoidis duncanensis																																														
GBGCR3213-19	NC_039559	9672350			Mined from GenBank, NCBI		BOLD:ACA9031	18	Chordata	76	Reptilia	384	Testudines	1113	Trionychidae	190957	Trionychinae	191035	Nilssonia	499956	Nilssonia nigricans					ANDERSON 1875																																									
GBMNA11701-19	HQ853256	9628699		HQ853256	Mined from GenBank, NCBI		BOLD:AAX5574	18	Chordata	76	Reptilia	384	Testudines	152912	Geoemydidae	190995	Geoemydinae	191037	Notochelys	191038	Notochelys platynota					GRAY 1834																																									
GBMNA11723-19	FJ541030	9628721		FJ541030	Mined from GenBank, NCBI		BOLD:AAF1492	18	Chordata	76	Reptilia	384	Testudines	1113	Trionychidae	190957	Trionychinae	191043	Palea	191044	Palea steindachneri					SIEBENROCK 1906																																									
GBMNA11733-19	KY705234	9628731		KY705234	Mined from GenBank, NCBI		BOLD:AAW3594	18	Chordata	76	Reptilia	384	Testudines	171542	Chelidae	757233	Chelodininae	171555	Chelodina	171557	Chelodina oblonga					GRAY 1841																																									
GBMNC60049-20	MN067835	12449827		MN067835	Mined from GenBank, NCBI			18	Chordata	76	Reptilia	384	Testudines	171542	Chelidae	757236	Chelinae	171553	Chelus	254061	Chelus fimbriata																																	Colombia													
GBMNC60216-20	MN124279	12449994	FL0038_B4	MN124279	Mined from GenBank, NCBI		BOLD:AAB8364	18	Chordata	76	Reptilia	384	Testudines	1116	Cheloniidae	757231	Carettinae	158932	Caretta	158933	Caretta caretta					LINNAEUS 1758																												Kenya													
GBMNC60217-20	MN124278	12449995	FL0047	MN124278	Mined from GenBank, NCBI		BOLD:AAB2931	18	Chordata	76	Reptilia	384	Testudines	1116	Cheloniidae	757234	Cheloniinae	5598	Chelonia	26699	Chelonia mydas					LINNAEUS 1758																												Kenya													
GBMNE55340-22	MZ046094	16351003	Soft_shell_turtle5-T-COI-1.seq		Mined from GenBank, NCBI		BOLD:AAI3663	18	Chordata	76	Reptilia	384	Testudines	1113	Trionychidae	190957	Trionychinae	3399	Pelodiscus	28600	Pelodiscus sinensis					WIEGMANN 1835																																									
GBMNE55351-22	MZ046105	16351014	Soft_shell_Turtle7-T-COI-3.seq		Mined from GenBank, NCBI		BOLD:AAI3663	18	Chordata	76	Reptilia	384	Testudines	1113	Trionychidae	190957	Trionychinae	3399	Pelodiscus	28600	Pelodiscus sinensis					WIEGMANN 1835																																									
GBMNE55354-22	MZ046108	16351017	Soft_shell_Turtle8-T-COI-2.seq		Mined from GenBank, NCBI		BOLD:AAI3663	18	Chordata	76	Reptilia	384	Testudines	1113	Trionychidae	190957	Trionychinae	3399	Pelodiscus	28600	Pelodiscus sinensis					WIEGMANN 1835																																									
GBMNF43464-22	OM945822	15409323		OM945822	Mined from GenBank, NCBI		BOLD:AAJ0518	18	Chordata	76	Reptilia	384	Testudines	34463	Chelydridae			34464	Chelydra	34465	Chelydra serpentina					LINNAEUS 1758																				38.0733	104.691	Coordinates from country centroid						China													
GBMNF43502-22	OM945835	15409361		OM945835	Mined from GenBank, NCBI		BOLD:ADO4839	18	Chordata	76	Reptilia	384	Testudines	1110	Pelomedusidae			3396	Pelomedusa	30223	Pelomedusa subrufa					BONNATERRE 1789																				38.0733	104.691	Coordinates from country centroid						China													
GBMTG1737-16	NC_013841	6960110		NC_013841	Mined from GenBank, NCBI		BOLD:AAF1492	18	Chordata	76	Reptilia	384	Testudines	1113	Trionychidae	190957	Trionychinae	191043	Palea	191044	Palea steindachneri					SIEBENROCK 1906																																									
GBMTG711-16	NC_007699	6959084		NC_007699	Mined from GenBank, NCBI		BOLD:ADC6531	18	Chordata	76	Reptilia	384	Testudines	53182	Testudinidae			79003	Testudo	79004	Testudo kleinmanni					LORTET 1883																																									
HWSST097-20	P.YAPEN_02_LTEI9_F	12340630		P.YAPEN_02_LTEI9_F	Institut Pertanian Bogor University			18	Chordata	76	Reptilia	384	Testudines	1116	Cheloniidae	757231	Carettinae	158934	Lepidochelys	158935	Lepidochelys olivacea				DNA non barcoding	ESCHSCHOLTZ 1829											Tissue Sampling																	Indonesia	West Papua	Pulau Yapen											
